company,title,location,department,employment_type,compensation,source,posted_date,first_seen_date,url,description_snippet
Databricks,Senior Financial Analyst,"Bellevue, Washington; Mountain View, California; San Francisco, California; Seattle, Washington",Finance,,,greenhouse,2026-08-19,2026-07-17,https://databricks.com/company/careers/open-positions/job?gh_jid=8414474002,"<p data-pm-slice=""1 1 []"">GAQ227R124</p> <p>Databricks is looking for a Senior Financial Analyst to join the Sales Finance team. You will report to the Sr. Finance Manager. The team’s primary goal is to improve forecast accuracy, increase visibility into business performance, and provide actionable "
SpaceX,Financial Analyst,"Hawthorne, CA",Finance,,,greenhouse,2026-07-31,2026-08-01,https://boards.greenhouse.io/spacex/jobs/8660037002?gh_jid=8660037002,"<div class=""content-intro""><p>SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of&nbsp;enabling huma"
SpaceX,Sr. Financial Analyst,"Hawthorne, CA",Finance,,,greenhouse,2026-07-24,2026-07-17,https://boards.greenhouse.io/spacex/jobs/8525768002?gh_jid=8525768002,"<div class=""content-intro""><p>SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of&nbsp;enabling huma"
SpaceX,"Sr. Financial Analyst, Investor Relations","Hawthorne, CA",Finance,,,greenhouse,2026-07-24,2026-07-17,https://boards.greenhouse.io/spacex/jobs/8612940002?gh_jid=8612940002,"<div class=""content-intro""><p>SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of&nbsp;enabling huma"
Instacart,"Senior Financial Analyst, Retailer",United States - Remote,Accounting & Finance,,,greenhouse,2026-08-18,2026-07-17,https://instacart.careers/job/?gh_jid=7958329,"<div class=""content-intro""><p><strong>We're transforming the grocery industry</strong></p> <p><span class=""im"">At Instacart, we invite the world to share love through food because we believe everyone should have access to the food they love and more time to enjoy it together. Where others see a simp"
Cockroach Labs,"Sr. Financial Analyst, GTM","New York, NY",Finance,,,greenhouse,2026-08-19,2026-08-18,https://www.cockroachlabs.com/careers/job/?gh_jid=8070069,"<div class=""job-post-container"" style=""position: relative; background-color: white; padding: 20px; max-width: 1000px; margin: 0 auto; box-shadow: 0px 0px 10px rgba(0, 0, 0, 0.1); min-height: 500px; border: 5px solid #0037A5;""> <div style=""position: absolute; top: 0; left: 2; width: 200px; height: 30"
Flexport,"Senior Financial Analyst, North America Sales & Operations Finance","Chicago, Illinois, United States; Dallas, Texas, United States",Finance,,,greenhouse,2026-08-17,2026-07-17,https://job-boards.greenhouse.io/flexport/jobs/8025116,"<div class=""content-intro""><h2><strong>About Flexport:&nbsp;</strong></h2> <p>At Flexport, we believe global trade can move the human race forward. That’s why it’s our mission to make global commerce so easy there will be more of it. We’re shaping the future of a $10T industry with solutions powered"
Okta,"Senior Financial Analyst, G&A ","San Francisco, California",FP&A-125,,,greenhouse,2026-08-14,2026-07-17,https://www.okta.com/company/careers/opportunity/8039368?gh_jid=8039368,"<div class=""content-intro""><p><strong>Secure Every Identity, from AI to Human<br><br></strong>Identity is the key to unlocking the potential of AI. Okta secures AI by building the trusted, neutral infrastructure that enables organizations to safely embrace this new era. This work requires a relentle"
Okta,"Senior Financial Analyst, Products & Technology","San Francisco, California",FP&A-125,,,greenhouse,2026-07-31,2026-07-17,https://www.okta.com/company/careers/opportunity/7983770?gh_jid=7983770,"<div class=""content-intro""><p><strong>Secure Every Identity, from AI to Human<br><br></strong>Identity is the key to unlocking the potential of AI. Okta secures AI by building the trusted, neutral infrastructure that enables organizations to safely embrace this new era. This work requires a relentle"
Justworks,Financial Analyst ,"New York, New York",Corporate & Finance,,,greenhouse,2026-08-03,2026-07-17,https://boards.greenhouse.io/justworks/jobs/7980174?gh_jid=7980174,"<div class=""content-intro""><h1><strong>Who We Are</strong></h1> <p><span style=""font-weight: 400;"">At Justworks, you’ll enjoy a welcoming and casual environment, great benefits, wellness program offerings, company retreats, and the ability to interact with and learn from leaders in the startup commu"
Klaviyo,Senior Financial Analyst – R&D,"Boston, MA",Finance & Accounting,,,greenhouse,2026-08-03,2026-07-17,https://www.klaviyo.com/careers/jobs/7748320003?gh_jid=7748320003,"<div class=""content-intro""><p><em>At Klaviyo, we value the unique backgrounds, experiences and perspectives each Klaviyo (we call ourselves Klaviyos) brings to our workplace each and every day. We believe everyone deserves a fair shot at success and appreciate the experiences each person brings beyo"
Roblox,"Strategic Financial Analyst, Revenue","San Mateo, CA, United States",Business Operations (BizOps),,,greenhouse,2026-08-22,2026-07-24,https://careers.roblox.com/jobs/8065848?gh_jid=8065848,"<div class=""content-intro""><p><span style=""font-weight: 400;"">Every day, tens of millions of people come to Roblox to explore, create, play, learn, and connect with friends in 3D immersive digital experiences– all created by our global community of developers and creators.&nbsp;</span></p> <p><span "
